,code,rank,location,population,groupname,l_weight,type,pcs_m,n_times,quantity,% of total,n_weight
0,G1,74,bern-fahrstrasse,133883.0,food,0.008,r,0.0,1,0,0.0,0.008
1,G1,75,beich,1043.0,food,0.008,r,0.0,1,0,0.0,0.008
2,G1,76,aare_bern_scheurerk,133883.0,food,0.008,r,0.0,1,0,0.0,0.008
3,G1,76,aare_koniz_hoppej,41784.0,food,0.008,r,0.0,1,0,0.0,0.008
4,G1,76,gummligrabbe,1920.0,food,0.008,r,0.0,1,0,0.0,0.008
5,G1,76,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,1,0,0.0,0.008
6,G1,77,aare_brugg_buchie,11179.0,food,0.008,r,0.0,1,0,0.0,0.008
7,G1,77,aare_suhrespitz_badert,21506.0,food,0.008,r,0.0,1,0,0.0,0.008
8,G1,77,augustmutzenbergstrandweg,12812.0,food,0.008,l,0.0,1,0,0.0,0.008
9,G1,77,bern-tiergarten,133883.0,food,0.008,r,0.0,1,0,0.0,0.008
10,G1,77,luscherz-two,560.0,food,0.008,l,0.0,1,0,0.0,0.008
11,G1,77,spackmatt,3480.0,food,0.008,r,0.0,1,0,0.0,0.008
12,G1,77,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,1,0,0.0,0.008
13,G1,78,aare_post,3695.0,food,0.008,r,0.0,1,0,0.0,0.008
14,G1,78,la-thiele_le-mujon_confluence,30157.0,food,0.008,r,0.0,1,0,0.0,0.008
15,G1,79,aare-solothurn-lido-strand,16777.0,food,0.008,r,0.0,1,0,0.0,0.008
16,G1,79,plage-de-cheyres,2320.0,food,0.088,l,0.0,1,0,0.0,0.008
17,G1,80,brugg-be-buren-bsg-standort,4390.0,food,0.008,r,0.0,1,0,0.0,0.008
18,G1,80,gals-reserve,827.0,food,0.016,l,0.0,2,0,0.0,0.016
19,G1,80,la-petite-plage,30157.0,food,0.088,l,0.0,1,0,0.0,0.008
20,G1,80,nouvelle-plage,9716.0,food,0.008,l,0.0,1,0,0.0,0.008
21,G1,80,ruisseau-de-la-croix-plage,2320.0,food,0.008,l,0.0,1,0,0.0,0.008
22,G1,80,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,1,0,0.0,0.008
23,G1,81,camp-des-peches,4645.0,food,0.008,l,0.0,1,0,0.0,0.008
24,G1,81,impromptu_cudrefin,1633.0,food,0.008,l,0.0,1,0,0.0,0.008
25,G1,81,ligerz-strand,544.0,food,0.016,l,0.0,1,0,0.0,0.008
26,G1,81,luscherz-plage,560.0,food,0.032,l,0.0,2,0,0.0,0.016
27,G1,81,plage-de-cheyres,2320.0,food,0.088,l,0.0,1,0,0.0,0.008
28,G1,81,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,1,0,0.0,0.008
29,G1,82,aare_bern_gerberm,133883.0,food,0.008,r,0.0,1,0,0.0,0.008
30,G1,82,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.0,1,0,0.0,0.008
31,G1,82,la-petite-plage,30157.0,food,0.088,l,0.0,1,0,0.0,0.008
32,G1,82,schusspark-strand,55159.0,food,0.016,r,0.0,1,0,0.0,0.008
33,G1,83,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.0,1,0,0.0,0.008
34,G1,83,la-petite-plage,30157.0,food,0.088,l,0.0,1,0,0.0,0.008
35,G1,84,aare-limmatspitz,5414.0,food,0.008,r,0.0,1,0,0.0,0.008
36,G1,84,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.0,1,0,0.0,0.008
37,G1,84,nidau-strand,6823.0,food,0.008,l,0.0,1,0,0.0,0.008
38,G1,84,plage-de-cheyres,2320.0,food,0.088,l,0.0,1,0,0.0,0.008
39,G1,84,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,3,0,0.0,0.024
40,G1,85,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.0,2,0,0.0,0.016
41,G1,85,la-petite-plage,30157.0,food,0.088,l,0.0,1,0,0.0,0.008
42,G1,85,plage-de-cheyres,2320.0,food,0.088,l,0.0,2,0,0.0,0.016
43,G1,85,sundbach-strand,1195.0,food,0.016,l,0.0,1,0,0.0,0.008
44,G1,85,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,1,0,0.0,0.008
45,G1,86,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.0,1,0,0.0,0.008
46,G1,86,camping-gwatt-strand,43734.0,food,0.008,l,0.0,1,0,0.0,0.008
47,G1,86,delta-park,12812.0,food,0.008,l,0.0,1,0,0.0,0.008
48,G1,86,hafeli,2536.0,food,0.016,l,0.0,1,0,0.0,0.008
49,G1,86,plage-de-cheyres,2320.0,food,0.088,l,0.0,2,0,0.0,0.016
