location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,buildings,streets,intersects,pop_group_proj,pop_group_rip,streets_rank,buildings_rank
Aabach,47.220989,8.940365,8716,CH,l,Zurichsee,schmerikon,zurichsee,True,Schmerikon,3338,3710,195722.25,65314.17,12,1,2,2,1
Aare Limmatspitz,47.501059999999995,8.237371000000001,5300,CH,r,Aare,gebenstorf,aare,True,Gebenstorf,4029,5414,396642.36,111959.62,0,1,3,3,3
Aare Solothurn Lido Strand,47.196949,7.521642999999999,4500,CH,r,Aare,solothurn,aare,True,Solothurn,2601,16777,329365.95,86279.68,0,3,3,3,2
aarezufluss_bern_scheurerk,46.9710097,7.452789699999999,3004,CH,r,Aare,bern,aare,False,Bern,351,133883,895025.32,167155.87,0,3,3,3,3
Aare_Bern_CaveltiN,46.923578799999994,7.473319099999999,3074,CH,r,Aare,muri-bei-bern,aare,False,Muri bei Bern,356,13054,444560.75,106143.5,0,2,3,3,3
Aare_bern_gerberm,46.9893631,7.4520976999999995,3004,CH,r,Aare,bern,aare,False,Bern,351,133883,518350.49,112365.11,0,3,3,3,3
aare_bern_scheurerk,46.970967200000004,7.4525857,3004,CH,r,Aare,bern,aare,True,Bern,351,133883,892500.22,167279.31,0,3,3,3,3
Aare_Brugg_BuchiE,47.4948553,8.2365581,5200,CH,r,Aare,brugg,aare,False,Brugg,4095,11179,491164.11,120330.5,0,2,3,3,3
Aare_Elfenau_cataldiv,46.9310201,7.462960499999999,3006,CH,r,Aare,bern,aare,False,Bern,351,133883,715474.74,141209.29,0,3,3,3,3
aare_kehrsatz_stolten,46.9235719,7.4883011,3123,CH,r,Aare,belp,aare,False,Belp,861,11510,374613.25,100537.45,0,2,3,3,2
aare_köniz_hoppej,46.934588500000004,7.458170299999999,3084,CH,r,Aare,koniz,aare,True,Köniz,355,41784,895314.57,157215.03,0,3,3,3,3
Aare_post,47.116665000000005,7.271953,2562,CH,r,Aare|Nidau-Büren-Kanal,port,aarenidau-buren-kanal,True,Port,745,3695,469678.66,118763.27,0,1,2,3,3
aare_rupperswil_badert,47.410309000000005,8.1125537,5102,CH,r,Aare,rupperswil,aare,False,Rupperswil,4206,5489,165795.77,90867.25,0,1,3,3,1
aare_solothurn_nguyena,47.1977495,7.5242247,4500,CH,r,Aare,solothurn,aare,False,Solothurn,2601,16777,427238.59,94218.9,0,3,3,3,3
aare_suhrespitz_badert,47.405669200000006,8.066018,5032,CH,r,Aare,aarau,aare,True,Aarau,4001,21506,632837.13,132834.0,0,3,3,3,3
Anarchy Beach,46.447216,6.859611999999999,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,322928.37,48497.5,3,2,3,1,2
Arabie,46.462099,6.8349720000000005,1800,CH,l,Lac Léman,vevey,lac-leman,False,Vevey,5890,19891,569513.54,79680.0,5,3,3,3,3
arve_carouge_battistellak,46.1784912,6.1543187,1234,CH,r,Arve,veyrier,arve,False,Veyrier,6645,11612,792587.25,140203.24,0,2,3,3,3
Ascona traghetto spiaggia,46.153882,8.76848,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,Ascona,5091,5481,553071.5,79429.93,2,1,3,3,3
AugustMützenbergStrandweg,46.686640000000004,7.689760000000001,3700,CH,l,Thunersee,spiez,thunersee,True,Spiez,768,12812,338890.85,78724.39,0,2,3,3,2
Baby Plage Geneva,46.208558000000004,6.162923,1208,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,1041888.21,136103.06,4,3,3,3,3
Baby-Plage II Genève,46.208940000000005,6.1643300000000005,1208,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,928641.97,132222.1,4,3,3,3,3
Bagno Pubblico Ascona,46.147565,8.779144,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,Ascona,5091,5481,361287.92,40711.1,1,1,3,0,2
Bain des Dames,46.4505068,6.8580918,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,456540.54,65432.58,2,2,3,2,3
Baye de Clarens,46.439787,6.888903,1815,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,352431.77,62863.12,4,3,3,2,2
Baye de Montreux D,46.430962,6.908672999999999,1820,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,402359.19,71056.0,3,3,3,3,3
Baye de Montreux G,46.430834000000004,6.908778,1820,CH,l,Lac Léman,montreux,lac-leman,True,Montreux,5886,25984,400461.86,70692.86,3,3,3,3,3
Beich,47.048495,7.200528,3272,CH,r,Aare,walperswil,aare,True,Walperswil,754,1043,29829.27,67085.95,0,0,1,2,0
Berlingen swisslitterreport,47.672431200000005,9.0110553,8267,CH,l,Untersee,berlingen,untersee,False,Berlingen,4801,890,64727.42,39210.11,0,0,1,0,0
Bern Fahrstrasse,46.975865999999996,7.444210000000001,3004,CH,r,Aare,bern,aare,True,Bern,351,133883,515600.49,135603.72,0,3,3,3,3
Bern Tiergarten,46.9331574,7.4520041,3005,CH,r,Aare,bern,aare,True,Bern,351,133883,875027.45,152352.24,0,3,3,3,3
Bielersee_Vinelz_FankhauserS,47.0383984,7.1083114,3234,CH,l,Bielersee,vinelz,bielersee,True,Vinelz,502,867,166343.73,58486.14,6,0,0,2,1
Birsköpfli Rusco,47.5577429,7.6172916,4127,CH,r,Birs,birsfelden,birs,False,Birsfelden,2766,10303,1275925.35,177028.38,0,2,3,3,3
Birs_Basel_GrunerN,47.5511276,7.6221988,4052,CH,r,Birs,basel,birs,False,Basel,2701,172258,1119678.12,176976.29,0,3,3,3,3
Birs_basel_lÃ¤derachs,47.546049700000005,7.6225981,4052,CH,r,Birs,basel,birs,False,Basel,2701,172258,1043672.22,187881.02,0,3,3,3,3
bodensee_altenrhein_caluoria,47.486506899999995,9.5439664,9422,CH,l,Bodensee,thal,bodensee,False,Thal,3237,6571,318739.9,54776.68,0,2,3,1,2
Bodensee_Arbon_MosliS,47.52088870000001,9.431144,9320,CH,l,Bodensee,arbon,bodensee,False,Arbon,4401,14633,485153.49,58095.95,0,2,3,1,3
bodensee_horn_huberm,47.4982757,9.4569782,9326,CH,l,Bodensee,horn,bodensee,False,Horn,4421,2752,365703.46,53948.29,0,0,2,1,2
Bodensee_Steinach_Dolder_A,47.5062992,9.436171400000001,9323,CH,l,Bodensee,steinach,bodensee,False,Steinach,3217,3606,687102.13,87327.4,0,1,2,3,3
bodensee_thal_schlachterj_1,47.486216299999995,9.543909900000001,9422,CH,l,Bodensee,thal,bodensee,False,Thal,3237,6571,319522.82,56107.64,0,2,3,1,2
Boiron,46.4910297,6.480161799999999,1131,CH,l,Lac Léman,tolochenaz,lac-leman,False,Tolochenaz,5649,1933,142961.61,35567.84,1,0,2,0,1
Brügg BE Büren BSG Standort,47.12222,7.28141,2555,CH,r,Aare|Nidau-Büren-Kanal,brugg,aarenidau-buren-kanal,True,Brügg,733,4390,418071.54,108825.43,0,1,3,3,3
Camp des pêches,47.052812,7.074053,2525,CH,l,Bielersee,le-landeron,bielersee,True,Le Landeron,6455,4645,256056.24,74190.62,8,1,3,3,2
Camping Gwatt Strand,46.727140000000006,7.62962,3645,CH,l,Thunersee,thun,thunersee,True,Thun,942,43734,497280.11,66533.16,6,3,3,2,3
Canale saleggi,46.200624499999996,9.015853,6500,CH,r,Ticino,bellinzona,ticino,True,Bellinzona,5002,43220,632273.82,120265.74,0,3,3,3,3
chriesbach_duebendorf_schneidera,47.4029195,8.6051458,8600,CH,r,Chriesbach,dubendorf,chriesbach,False,Dübendorf,191,28678,1075070.78,156669.72,0,3,3,3,3
