slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,buildings,streets,intersects,pop_group_proj,pop_group_rip,streets_rank,buildings_rank
aare-limmatspitz,Aare Limmatspitz,47.501059999999995,8.237371000000001,5300,CH,r,Aare,gebenstorf,aare,True,Gebenstorf,4029,5414,892500,111959.61880568205,0,1,3,3,3
aare-solothurn-lido-strand,Aare Solothurn Lido Strand,47.196949,7.521642999999999,4500,CH,r,Aare,solothurn,aare,True,Solothurn,2601,16777,596130,85733.41873693847,0,3,3,3,3
aare_bern_gerberm,Aare_bern_gerberm,46.9893631,7.4520976999999995,3004,CH,r,Aare,bern,aare,False,Bern,351,133883,103902,110653.37752198438,0,3,3,3,0
aare_bern_scheurerk,aare_bern_scheurerk,46.970967200000004,7.4525857,3004,CH,r,Aare,bern,aare,True,Bern,351,133883,54603,167279.30652914947,0,3,3,3,0
aare_brugg_buchie,Aare_Brugg_BuchiE,47.4948553,8.2365581,5200,CH,r,Aare,brugg,aare,False,Brugg,4095,11179,751210,120330.50130922261,0,2,3,3,3
aare_koniz_hoppej,aare_köniz_hoppej,46.934588500000004,7.458170299999999,3084,CH,r,Aare,koniz,aare,True,Köniz,355,41784,374613,157215.02556000787,0,3,3,3,2
aare_post,Aare_post,47.116665000000005,7.271953,2562,CH,r,Aare|Nidau-Büren-Kanal,port,aarenidau-buren-kanal,True,Port,745,3695,106967,118763.27142301256,0,1,2,3,0
aare_suhrespitz_badert,aare_suhrespitz_badert,47.405669200000006,8.066018,5032,CH,r,Aare,aarau,aare,True,Aarau,4001,21506,237775,124410.72960595247,0,3,3,3,2
beich,Beich,47.048495,7.200528,3272,CH,r,Aare,walperswil,aare,True,Walperswil,754,1043,273228,67085.95099478251,0,0,1,3,2
bern-fahrstrasse,Bern Fahrstrasse,46.975865999999996,7.444210000000001,3004,CH,r,Aare,bern,aare,True,Bern,351,133883,348035,135603.7155953782,0,3,3,3,2
bern-tiergarten,Bern Tiergarten,46.9331574,7.4520041,3005,CH,r,Aare,bern,aare,True,Bern,351,133883,632274,152352.23737325514,0,3,3,3,3
brugg-be-buren-bsg-standort,Brügg BE Büren BSG Standort,47.12222,7.28141,2555,CH,r,Aare|Nidau-Büren-Kanal,brugg,aarenidau-buren-kanal,True,Brügg,733,4390,444561,108825.43079742813,0,1,3,3,3
gummligrabbe,Gummligrabbe,46.989290000000004,7.25073,3283,CH,r,Aare,kallnach,aare,True,Kallnach,304,1920,744612,57846.686394300916,0,0,1,2,3
jona-river-rastplatz,Jona river Rastplatz,47.2161,8.844430000000001,8654,CH,r,Jona,jona-city,jona,True,Rapperswil-Jona,3340,26999,562506,44313.01761676197,4,3,3,1,3
kusnachter-dorfbach-tobelweg-1-4,Küsnachter Dorfbach Tobelweg 1-4,47.31777,8.588258,8700,CH,r,Dorfbach,kusnacht,dorfbach,True,Küsnacht (ZH),154,14397,1036653,96477.06857983288,3,2,3,3,3
la-thiele_le-mujon_confluence,La Thièle_Le Mujon_confluence,46.77534,6.6309,1400,CH,r,La Thièle,yverdon-les-bains,la-thiele,True,Yverdon-les-Bains,5938,30157,491164,110197.2044713712,0,3,3,3,3
lavey-la-source,Lavey la source,46.200804,7.021866,1892,CH,r,Rhône,lavey-morcles,rhone,True,Lavey-Morcles,5406,946,511135,83899.26777870467,0,0,1,3,3
lavey-les-bains,Lavey les bains,46.205158700000005,7.012722,1892,CH,r,Rhône,lavey-les-bains,rhone,True,Lavey-Morcles,5406,946,315094,89674.42379316235,0,0,1,3,2
lavey-les-bains-2,lavey les bains-2,46.207726,7.011685000000001,Postal-code,CH,r,Rhône,lavey-morcles,rhone,True,Lavey-Morcles,5406,946,62540,93018.54285547676,0,0,1,3,0
les-glariers,Les Glariers,46.176736,7.228925,6139,CH,r,Rhône,riddes,rhone,True,Riddes,6139,3133,141010,107013.28776156806,0,0,2,3,1
les-vieux-ronquoz,Les Vieux Ronquoz,46.2220487,7.361664,1950,CH,r,Rhône,sion,rhone,True,Sion,6266,34708,109292,138033.37367307302,0,3,3,3,0
limmat_zuerich_suterdglauserp,limmat_zuerich_suterd&glauserp,47.3945393,8.5134435,8005,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367,278056,145688.02163357753,0,3,3,3,2
limmat_zurich_mortensena_meiera,limmat_zürich_mortensena_meiera,47.4002515,8.485411000000001,8064,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367,440388,153193.77757296257,0,3,3,3,3
linthdammweg,Linthdammweg,47.13179,9.09191,8872,CH,r,Linthkanal,weesen,linthkanal,True,Weesen,3316,1724,337425,72541.17869370268,6,0,1,3,2
linth_mollis,Linth_Mollis,47.131370000000004,9.094768,8872,CH,r,Linthkanal,glarus-nord,linthkanal,True,Glarus Nord,1630,18483,166146,72205.4600071606,7,3,3,3,1
linth_route9brucke,Linth_Route9brücke,47.12573,9.117339999999999,8757,CH,r,Escherkanal,glarus-nord,escherkanal,True,Glarus Nord,1630,18483,93321,49839.81063531566,6,3,3,1,0
reuss_hunenberg_eberhardy,reuss_hünenberg_eberhardy,47.2329755,8.401012099999999,6331,CH,r,Reuss,hunenberg,reuss,True,Hünenberg,1703,8808,none,none,none,2,3,none,none
reuss_ottenbach_schoenenbergerl,reuss_ottenbach_schoenenbergerl,47.2783545,8.3942242,5634,CH,r,Reuss,merenschwand,reuss,True,Merenschwand,4234,3549,none,none,none,0,2,none,none
