location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,buildings,streets,intersects,pcs_m,t_pcs_m
Bielersee_Vinelz_FankhauserS,47.0383984,7.1083114,3234,CH,l,Bielersee,vinelz,bielersee,True,Vinelz,502,867,166341,58476.151,1,4.295,2.915
Camp des pêches,47.052812,7.074053,2525,CH,l,Bielersee,le-landeron,bielersee,True,Le Landeron,6455,4645,29783,74172.927,8,1.4500000000000002,1.28
Erlach camping strand,47.047159,7.097853999999999,3235,CH,l,Bielersee,erlach,bielersee,True,Erlach,492,1385,142915,38781.93,3,1.83,1.06
Gals reserve,47.0462719,7.0850075,3238,CH,l,Bielersee,gals,bielersee,True,Gals,494,827,792451,58521.875,7,1.2800000000000002,0.895
Ligerz strand,47.083979,7.135894,2514,CH,l,Bielersee,ligerz,bielersee,True,Ligerz,740,544,471029,50824.652,4,9.099999999999998,7.204999999999998
Lüscherz plage,47.0479551,7.151242,2576,CH,l,Bielersee,luscherz,bielersee,True,Lüscherz,497,560,240300,37311.242999999995,6,0.7400000000000002,0.55
Lüscherz two,47.047519,7.1528292,2573,CH,l,Bielersee,luscherz,bielersee,True,Lüscherz,497,560,53516,39654.093,6,0.4,0.05
Müllermatte,47.133339,7.227907000000001,2505,CH,l,Bielersee,biel,bielersee,True,Biel/Bienne,371,55159,1582331,109589.276,1,5.419999999999996,4.16
Nidau strand,47.127196000000005,7.232613000000001,2560,CH,l,Bielersee,nidau,bielersee,True,Nidau,743,6823,302091,119590.582,1,2.5200000000000005,2.12
Strandboden-Biel,47.132509999999996,7.233142,2503,CH,l,Bielersee,biel,bielersee,True,Biel/Bienne,371,55159,209826,124399.969,1,3.470000000000001,2.03
