loc_date,location,water_name,pcs_m
"('aabach', '2020-10-22')",aabach,Zurichsee,1.2200000000000002
"('ascona-traghetto-spiaggia', '2020-08-26')",ascona-traghetto-spiaggia,Lago Maggiore,9.410000000000004
"('augustmutzenbergstrandweg', '2020-10-09')",augustmutzenbergstrandweg,Thunersee,0.77
"('baby-plage-geneva', '2020-05-05')",baby-plage-geneva,Lac Léman,2.14
"('baby-plage-geneva', '2020-06-09')",baby-plage-geneva,Lac Léman,2.56
"('baby-plage-geneva', '2020-07-07')",baby-plage-geneva,Lac Léman,17.879999999999992
"('baby-plage-geneva', '2020-08-18')",baby-plage-geneva,Lac Léman,2.6900000000000004
"('baby-plage-geneva', '2020-10-20')",baby-plage-geneva,Lac Léman,2.399999999999999
"('baby-plage-geneva', '2020-11-18')",baby-plage-geneva,Lac Léman,0.8800000000000001
"('baby-plage-geneva', '2020-12-16')",baby-plage-geneva,Lac Léman,1.5000000000000004
"('baby-plage-geneva', '2021-01-16')",baby-plage-geneva,Lac Léman,1.8900000000000006
"('baby-plage-ii-geneve', '2020-11-01')",baby-plage-ii-geneve,Lac Léman,1.2900000000000003
"('bain-des-dames', '2020-06-11')",bain-des-dames,Lac Léman,9.690000000000001
"('baye-de-montreux-g', '2020-05-07')",baye-de-montreux-g,Lac Léman,3.26
"('baye-de-montreux-g', '2020-06-02')",baye-de-montreux-g,Lac Léman,4.22
"('baye-de-montreux-g', '2020-07-14')",baye-de-montreux-g,Lac Léman,5.81
"('baye-de-montreux-g', '2020-08-11')",baye-de-montreux-g,Lac Léman,8.65
"('baye-de-montreux-g', '2020-09-08')",baye-de-montreux-g,Lac Léman,2.2400000000000007
"('baye-de-montreux-g', '2020-10-15')",baye-de-montreux-g,Lac Léman,2.64
"('bielersee_vinelz_fankhausers', '2020-04-27')",bielersee_vinelz_fankhausers,Bielersee,10.47
"('bielersee_vinelz_fankhausers', '2020-05-30')",bielersee_vinelz_fankhausers,Bielersee,6.34
"('bielersee_vinelz_fankhausers', '2020-06-26')",bielersee_vinelz_fankhausers,Bielersee,5.9
"('bielersee_vinelz_fankhausers', '2020-07-27')",bielersee_vinelz_fankhausers,Bielersee,5.109999999999999
"('bielersee_vinelz_fankhausers', '2020-08-28')",bielersee_vinelz_fankhausers,Bielersee,5.460000000000001
"('bielersee_vinelz_fankhausers', '2020-09-26')",bielersee_vinelz_fankhausers,Bielersee,3.4000000000000004
"('bielersee_vinelz_fankhausers', '2020-10-30')",bielersee_vinelz_fankhausers,Bielersee,1.4000000000000004
"('bielersee_vinelz_fankhausers', '2020-11-30')",bielersee_vinelz_fankhausers,Bielersee,1.2200000000000002
"('bielersee_vinelz_fankhausers', '2020-12-30')",bielersee_vinelz_fankhausers,Bielersee,1.4500000000000004
"('boiron', '2020-11-04')",boiron,Lac Léman,1.7600000000000002
"('camp-des-peches', '2020-11-20')",camp-des-peches,Bielersee,1.4500000000000002
"('camping-gwatt-strand', '2020-11-06')",camping-gwatt-strand,Thunersee,1.7200000000000002
"('cully-plage', '2020-06-25')",cully-plage,Lac Léman,3.89
"('delta-park', '2020-11-19')",delta-park,Thunersee,2.0
"('evole-plage', '2020-05-02')",evole-plage,Neuenburgersee,3.0099999999999993
"('evole-plage', '2020-06-02')",evole-plage,Neuenburgersee,2.779999999999999
"('evole-plage', '2020-07-01')",evole-plage,Neuenburgersee,2.1800000000000006
"('evole-plage', '2020-07-31')",evole-plage,Neuenburgersee,3.36
"('evole-plage', '2020-09-02')",evole-plage,Neuenburgersee,6.599999999999997
"('evole-plage', '2020-10-04')",evole-plage,Neuenburgersee,3.8699999999999997
"('evole-plage', '2020-11-03')",evole-plage,Neuenburgersee,1.5400000000000005
