loc_date,code,date,pcs_m,quantity,location,water_name,population,streets,buildings,rivs,wname_loc
"('aabach', '2020-10-22')",G112,2020-10-22,0.23,7,aabach,Zurichsee,3710,25183.491,4163.872,22,"('Zurichsee', 'aabach')"
"('ascona-traghetto-spiaggia', '2020-08-26')",G112,2020-08-26,0.07,2,ascona-traghetto-spiaggia,Lago Maggiore,5481,38767.524,127181.76199999999,4,"('Lago Maggiore', 'ascona-traghetto-spiaggia')"
"('augustmutzenbergstrandweg', '2020-10-09')",G112,2020-10-09,0.0,0,augustmutzenbergstrandweg,Thunersee,12812,41253.817,67619.079,0,"('Thunersee', 'augustmutzenbergstrandweg')"
"('baby-plage-geneva', '2020-05-05')",G112,2020-05-05,0.0,0,baby-plage-geneva,Lac Léman,201818,51547.349,61378.835999999996,7,"('Lac Léman', 'baby-plage-geneva')"
"('baby-plage-geneva', '2020-06-09')",G112,2020-06-09,0.27,27,baby-plage-geneva,Lac Léman,201818,51547.349,61378.835999999996,7,"('Lac Léman', 'baby-plage-geneva')"
"('baby-plage-geneva', '2020-07-07')",G112,2020-07-07,4.24,424,baby-plage-geneva,Lac Léman,201818,51547.349,61378.835999999996,7,"('Lac Léman', 'baby-plage-geneva')"
"('baby-plage-geneva', '2020-08-18')",G112,2020-08-18,0.11,11,baby-plage-geneva,Lac Léman,201818,51547.349,61378.835999999996,7,"('Lac Léman', 'baby-plage-geneva')"
"('baby-plage-geneva', '2020-10-20')",G112,2020-10-20,0.16,12,baby-plage-geneva,Lac Léman,201818,51547.349,61378.835999999996,7,"('Lac Léman', 'baby-plage-geneva')"
"('baby-plage-geneva', '2020-11-18')",G112,2020-11-18,0.0,0,baby-plage-geneva,Lac Léman,201818,51547.349,61378.835999999996,7,"('Lac Léman', 'baby-plage-geneva')"
"('baby-plage-geneva', '2020-12-16')",G112,2020-12-16,0.04,4,baby-plage-geneva,Lac Léman,201818,51547.349,61378.835999999996,7,"('Lac Léman', 'baby-plage-geneva')"
