quantity,% of total
0,0.0
388,0.007817064571371008
221,0.0044525032738994665
31,0.0006245592827641785
3,6.044122091266244e-05
235,0.004734562304825224
7,0.000141029515462879
59,0.0011886773446156947
578,0.011645008562506295
4,8.058829455021658e-05
4,8.058829455021658e-05
2,4.029414727510829e-05
15,0.0003022061045633122
4,8.058829455021658e-05
1654,0.03332325979651456
14,0.000282059030925758
22,0.0004432356200261912
86,0.0017326483328296565
3,6.044122091266244e-05
17,0.0003425002518384205
13,0.0002619119572882039
30,0.0006044122091266244
7,0.000141029515462879
17,0.0003425002518384205
84,0.0016923541855545482
165,0.003324267150196434
27,0.0005439709882139619
12,0.00024176488365064975
6,0.00012088244182532487
4,8.058829455021658e-05
88,0.0017729424801047648
1,2.0147073637554146e-05
17,0.0003425002518384205
40,0.0008058829455021658
55,0.001108089050065478
8,0.00016117658910043317
106,0.0021355898055807395
5,0.00010073536818777072
3,6.044122091266244e-05
3,6.044122091266244e-05
3,6.044122091266244e-05
6,0.00012088244182532487
53,0.0010677949027903698
2,4.029414727510829e-05
46,0.0009267653873274907
18,0.00036264732547597464
67,0.0013498539337161277
5,0.00010073536818777072
74,0.0014908834491790068
86,0.0017326483328296565
3,6.044122091266244e-05
2,4.029414727510829e-05
96,0.001934119069205198
159,0.0032033847083711093
19,0.00038279439911352873
121,0.0024377959101440517
364,0.0073335348040697084
62,0.001249118565528357
24,0.0004835297673012995
152,0.00306235519290823
0,0.0
19,0.00038279439911352873
0,0.0
113,0.0022766193210436185
1,2.0147073637554146e-05
22,0.0004432356200261912
7,0.000141029515462879
35,0.0007051475773143951
6,0.00012088244182532487
4,8.058829455021658e-05
2,4.029414727510829e-05
3,6.044122091266244e-05
68,0.001370001007353682
14,0.000282059030925758
454,0.009146771431449582
610,0.012289714918908028
2,4.029414727510829e-05
0,0.0
6,0.00012088244182532487
19,0.00038279439911352873
1,2.0147073637554146e-05
2,4.029414727510829e-05
116,0.002337060541956281
2,4.029414727510829e-05
7,0.000141029515462879
2,4.029414727510829e-05
79,0.0015916188173667775
1,2.0147073637554146e-05
42,0.0008461770927772741
12,0.00024176488365064975
1,2.0147073637554146e-05
12,0.00024176488365064975
95,0.0019139719955676437
13,0.0002619119572882039
32,0.0006447063564017327
46,0.0009267653873274907
1820,0.03666767402034855
49,0.0009872066082401531
3,6.044122091266244e-05
103,0.002075148584668077
115,0.0023169134683187266
0,0.0
140,0.0028205903092575805
559,0.011262214163392768
43,0.0008663241664148282
244,0.004915885967563211
127,0.0025586783519693764
2,4.029414727510829e-05
229,0.004613679862999899
397,0.007998388234108996
504,0.010154125113327288
587,0.011826332225244283
78,0.0015714717437292232
7421,0.1495114334642893
81,0.0016319129646418858
12,0.00024176488365064975
261,0.005258386219401632
3046,0.06136798629998993
351,0.007071622846781505
292,0.00588294550216581
295,0.005943386723078473
107,0.0021557368792182933
390,0.007857358718646117
11,0.0002216178100130956
11,0.0002216178100130956
159,0.0032033847083711093
2,4.029414727510829e-05
58,0.0011685302709781404
6,0.00012088244182532487
3,6.044122091266244e-05
21,0.00042308854638863704
40,0.0008058829455021658
14,0.000282059030925758
6,0.00012088244182532487
188,0.0037876498438601794
4,8.058829455021658e-05
2,4.029414727510829e-05
2,4.029414727510829e-05
0,0.0
34,0.000685000503676841
24,0.0004835297673012995
1,2.0147073637554146e-05
9,0.00018132366273798732
3,6.044122091266244e-05
3,6.044122091266244e-05
15,0.0003022061045633122
43,0.0008663241664148282
229,0.004613679862999899
2351,0.0473657701218898
20,0.0004029414727510829
59,0.0011886773446156947
365,0.007353681877707263
5,0.00010073536818777072
317,0.006386622343104664
1596,0.03215472952553641
22,0.0004432356200261912
7,0.000141029515462879
1,2.0147073637554146e-05
74,0.0014908834491790068
0,0.0
901,0.018152513347436283
1,2.0147073637554146e-05
103,0.002075148584668077
10,0.00020147073637554144
22,0.0004432356200261912
2,4.029414727510829e-05
3,6.044122091266244e-05
277,0.005580739397602498
95,0.0019139719955676437
8,0.00016117658910043317
4,8.058829455021658e-05
115,0.0023169134683187266
142,0.0028608844565326886
8,0.00016117658910043317
90,0.001813236627379873
6,0.00012088244182532487
11,0.0002216178100130956
35,0.0007051475773143951
24,0.0004835297673012995
26,0.0005238239145764077
4,8.058829455021658e-05
201,0.004049561801148383
227,0.004573385715724791
207,0.004170444242973708
17,0.0003425002518384205
17,0.0003425002518384205
53,0.0010677949027903698
79,0.0015916188173667775
20,0.0004029414727510829
105,0.0021154427319431852
20,0.0004029414727510829
25,0.0005036768409388536
2,4.029414727510829e-05
21,0.00042308854638863704
2,4.029414727510829e-05
2,4.029414727510829e-05
86,0.0017326483328296565
38,0.0007655887982270575
17,0.0003425002518384205
31,0.0006245592827641785
1,2.0147073637554146e-05
156,0.0031429434874584465
742,0.014949128639065177
53,0.0010677949027903698
42,0.0008461770927772741
6457,0.1300896544776871
6828,0.1375642187972197
1316,0.026513548907021255
204,0.004110003022061046
6,0.00012088244182532487
498,0.010033242671501965
27,0.0005439709882139619
2,4.029414727510829e-05
