UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,BAU_NAME_U,NAME,NUTZUNG,slug,water_name,city_slug,area
{5B9CCEA0-1982-4D83-988E-484CCB0C04F2},2014/12/09,2011/06/10,2010,4,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2017_Aufbau,,,,baye-de-montreux-d,Lac Léman,montreux,100626.459
{1D314FDB-BCF2-4AA5-9574-2582E7A1908F},2016/05/26,2016/05/26,2016,5,2017,6,verbessert,3D-GebCH_T2016,2014,6,Gebaeude,2018_Aufbau,,,,la-petite-plage,Neuenburgersee,yverdon-les-bains,2162.961
{F52288D8-FFD0-4FE7-B017-55903659C3B4},2014/01/22,2009/08/10,2008,8,2014,6,verbessert,swisstopo,2011,6,Offenes Gebaeude,2015_Aufbau,,,,seez_spennwiesenbrucke,Seez,walenstadt,10056.979
{B821BA82-1278-448C-AA3F-D7D50B825B83},2013/11/08,2011/10/26,2011,3,2018,6,real,swisstopo,2011,6,Gebaeude,2018_Aufbau,,,,birskopfli-rusco,Birs,birsfelden,93081.389
{F74492E8-4632-41FE-8C10-24224DFBBCFC},2015/08/19,2015/08/19,2015,8,2015,8,verbessert,3D-GebCH_T2015,2014,6,Gebaeude,2015_Aufbau,,,,gasi-strand,Walensee,weesen,556.289
{6F813094-2FB1-4FAE-B46D-D2D72F2514AF},2016/01/05,2016/01/05,2016,1,2016,1,verbessert,3D-GebCH_T2015,2015,6,Gebaeude,2016_Aufbau,,,,lacleman_gland_kubela,Lac Léman,gland,2041.404
{9ACCE134-5B1A-4E99-8046-E7D4D0C23D9C},2014/02/18,2011/11/24,2008,5,2014,6,verbessert,swisstopo,2011,6,Gebaeude,2015_Aufbau,,,,murg_waengi_strickerr,Murg,wangi,17780.862
{57D91FFB-1739-4DA7-8B0E-7C2B3D6A6D03},2018/07/10,2013/08/07,2010,7,2016,6,verbessert,swisstopo,2016,6,Sakrales Gebaeude,1412_Aufbau,,,,kusnachter-dorfbach-tobelweg-1-4,Dorfbach,kusnacht,114929.558
{704A05F4-6AC3-4F00-B840-8EEF8848960E},2014/05/13,2014/05/13,2013,6,2013,6,verbessert,swisstopo,2013,6,Gebaeude,2015_Aufbau,{6933803A-8868-46D4-845D-58D37356CF41},Restaurant Sihlmatt,Gasthof abgelegen,sihl_menzingen_kucharska_magdalena,Sihl,menzingen,3312.026
{D50CEFAF-D0B1-4284-B42C-E9A53C7BF5B3},2014/12/09,2011/06/09,2010,4,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2017_Aufbau,,,,lac-leman-hammerdirt,Lac Léman,la-tour-de-peilz,77264.163
