UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,BAU_NAME_U,NAME,NUTZUNG,OBJECTID,UUID_2,DATUM_AE_1,DATUM_ER_1,HERKUNFT_2,HERKUNFT_1,OBJEKTART_,BFS_NUMMER,BEZIRKSNUM,KANTONSNUM,NAME_2,GEM_TEIL,GEM_FLAECH,SEE_FLAECH,ICC,SHN,EINWOHNERZ,landesgebe,landesge_1,landesge_2,landesge_3,landesge_4,landesge_5,landesge_6,landesge_7,landesge_8,neighbs,layer,path,slug,area
{2E22F8CC-4132-4A32-B2F6-AAD85B9FBA01},2019/09/19,2011/04/06,2010,4,2018,6,verbessert,swisstopo,2018,6,Gebaeude,2017_Aufbau,{779E9AEE-0705-4C72-BDB9-01F36D58BD24},Stadion Lachen,Stadion,10594,4C55938D-8EA5-4FD1-BF67-742644B595BB,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,942,CH02470000,CH02000000,Thun,0,2157.000000000000000,-29998.000000000000000,CH,CH02470942,43568,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"942, 768,",thun_communes,/home/mwshovel/dev/analyst/jan12/munis/thun_communes.shp|layername=thun_communes,thun-strandbad,25512.136
{4F801D6E-FD3F-4F9C-B734-4C37DD9A079F},2014/12/05,2011/04/07,2010,4,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2017_Aufbau,,,,11456,BD347AFF-88E1-477B-8C0A-8951A12A989D,2019/11/18,2009/03/25,TLM,2019,Gemeindegebiet,939,CH02470000,CH02000000,Steffisburg,0,1481.000000000000000,-29998.000000000000000,CH,CH02470939,15959,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"939, 925,",aare_communes,/home/mwshovel/dev/analyst/jan12/munis/aare_communes.shp|layername=aare_communes,zulg_steffisburg_schmassmanne,81660.903
{B6BB51ED-FE29-4410-AF60-25948C87E48C},2013/10/10,2013/10/10,2011,6,2018,6,verbessert,swisstopo,2011,6,Hochkamin,2018_Aufbau,,,,14083,EF73C828-39BD-4357-8B2C-B5E388828D79,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,2554,CH11070000,CH11000000,Riedholz,0,715.000000000000000,-29998.000000000000000,CH,CH11072554,2296,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"2554, 2541",aare_communes,/home/mwshovel/dev/analyst/jan12/munis/aare_communes.shp|layername=aare_communes,spackmatt,91652.576
{AAFC8F35-499B-4119-A2CE-0BB87FE5F0B9},2016/01/15,2016/01/15,2016,1,2016,1,verbessert,3D-GebCH_T2015,2015,6,Gebaeude,2016_Aufbau,,,,11258,CBB0995E-73FB-48AD-A9E4-14C75F740FCE,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,6621,N/A,CH25000000,Genève,0,1830.000000000000000,237.000000000000000,CH,CH25006621,198979,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"6621, 6643",leman_communes,/home/mwshovel/dev/analyst/jan12/munis/leman_communes.shp|layername=leman_communes,rocky-plage,23169.716
{79854B67-7B02-42B1-ABA5-A83F05D2005E},2017/03/24,2009/02/19,2004,6,2016,6,verbessert,swisstopo,2016,6,Gebaeude,2017_Aufbau,,,,16829,08136E72-33F8-4863-AE5A-18A3917F117F,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,5890,CH22300000,CH22000000,Vevey,0,241.000000000000000,1.000000000000000,CH,CH22305890,19780,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"5890, 5883",leman_communes,/home/mwshovel/dev/analyst/jan12/munis/leman_communes.shp|layername=leman_communes,arabie,101150.896
{B6945B23-9ECC-401B-A663-8BA3C19BE88E},2016/01/15,2016/01/15,2016,1,2016,1,verbessert,3D-GebCH_T2015,2015,6,Gebaeude,2016_Aufbau,,,,11258,CBB0995E-73FB-48AD-A9E4-14C75F740FCE,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,6621,N/A,CH25000000,Genève,0,1830.000000000000000,237.000000000000000,CH,CH25006621,198979,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"6621, 6643",leman_communes,/home/mwshovel/dev/analyst/jan12/munis/leman_communes.shp|layername=leman_communes,villa-barton,65087.897
{9D7A9CA3-97CC-4E61-A3F1-F079F214DBF6},2015/08/19,2015/08/19,2015,8,2015,8,verbessert,3D-GebCH_T2015,2014,6,Gebaeude,2015_Aufbau,,,,8976,64DE9F95-2913-4C78-9DA0-876BC8363F40,2019/12/04,2011/04/12,TLM,2019,Gemeindegebiet,1630,N/A,CH08000000,Glarus Nord,0,15161.000000000000000,461.000000000000000,CH,CH08001630,18057,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"1630, 1632",walensee_communes,/home/mwshovel/dev/analyst/jan12/munis/walensee_communes.shp|layername=walensee_communes,seeflechsen,905.461
{8F827FCC-D45E-4E05-86E3-4C8D7BB0136D},2014/05/15,2010/05/06,2009,6,2015,6,verbessert,swisstopo,2012,6,Gebaeude,2016_Aufbau,,,,17061,22DB7367-4597-4493-A23F-3165339B2741,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,5643,CH22270000,CH22000000,Préverenges,0,187.000000000000000,-29998.000000000000000,CH,CH22275643,5292,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"5643, 5648",leman_communes,/home/mwshovel/dev/analyst/jan12/munis/leman_communes.shp|layername=leman_communes,preverenges,44317.143
{8C708B86-ED7A-49AD-AC00-3341F0E522B9},2015/01/13,2011/01/31,2010,3,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2016_Aufbau,,,,9395,C9307603-09CE-44B9-ADFB-DDD371298073,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,351,CH02460000,CH02000000,Bern,0,5162.000000000000000,-29998.000000000000000,CH,CH02460351,133115,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"351, 355,",aare_communes,/home/mwshovel/dev/analyst/jan12/munis/aare_communes.shp|layername=aare_communes,bern-fahrstrasse,59939.748
{B9219EC5-DB12-4CF8-9871-76EE8A67E32B},2016/01/05,2016/01/05,2016,1,2016,1,verbessert,3D-GebCH_T2015,2015,6,Gebaeude,2016_Aufbau,,,,17155,528F2CAC-AF51-4AD4-B6AD-80992BFCC8E4,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,5649,CH22270000,CH22000000,Tolochenaz,0,159.000000000000000,-29998.000000000000000,CH,CH22275649,1866,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"5649, 5628",leman_communes,/home/mwshovel/dev/analyst/jan12/munis/leman_communes.shp|layername=leman_communes,boiron,1956.325
