slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_na_1,is_2020,NUMPOINTS
aabach,Aabach,47.220989000000003,8.940365000000000,Schmerikon,8716,CH,l,Zurichsee,schmerikon,zurichsee,True,22
aare-limmatspitz,Aare Limmatspitz,47.501060000000003,8.237371000000000,Gebenstorf,5300,CH,r,Aare,gebenstorf,aare,True,0
aare-solothurn-lido-strand,Aare Solothurn Lido Strand,47.196948999999996,7.521643000000000,Solothurn,4500,CH,r,Aare,solothurn,aare,True,0
aarezufluss_bern_scheurerk,aarezufluss_bern_scheurerk,46.971009700000003,7.452789700000000,Bern,3004,CH,r,Aare,bern,aare,False,0
aare_bern_caveltin,Aare_Bern_CaveltiN,46.923578800000001,7.473319100000000,Muri bei Bern,3074,CH,r,Aare,muri-bei-bern,aare,False,0
aare_bern_gerberm,Aare_bern_gerberm,46.989363099999998,7.452097700000000,Bern,3004,CH,r,Aare,bern,aare,False,0
aare_bern_scheurerk,aare_bern_scheurerk,46.970967199999997,7.452585700000000,Bern,3004,CH,r,Aare,bern,aare,True,0
aare_brugg_buchie,Aare_Brugg_BuchiE,47.494855299999998,8.236558100000000,Brugg,5200,CH,r,Aare,brugg,aare,False,0
aare_elfenau_cataldiv,Aare_Elfenau_cataldiv,46.931020099999998,7.462960500000000,Bern,3006,CH,r,Aare,bern,aare,False,0
aare_kehrsatz_stolten,aare_kehrsatz_stolten,46.923571899999999,7.488301100000000,Belp,3123,CH,r,Aare,belp,aare,False,0
aare_koniz_hoppej,aare_köniz_hoppej,46.934588499999997,7.458170300000000,Köniz,3084,CH,r,Aare,koniz,aare,True,0
aare_post,Aare_post,47.116664999999998,7.271953000000000,Port,2562,CH,r,Aare|Nidau-Büren-Kanal,port,aarenidau-buren-kanal,True,0
aare_rupperswil_badert,aare_rupperswil_badert,47.410308999999998,8.112553699999999,Rupperswil,5102,CH,r,Aare,rupperswil,aare,False,0
aare_solothurn_nguyena,aare_solothurn_nguyena,47.197749500000000,7.524224700000000,Solothurn,4500,CH,r,Aare,solothurn,aare,False,0
aare_suhrespitz_badert,aare_suhrespitz_badert,47.405669199999998,8.066018000000000,Aarau,5032,CH,r,Aare,aarau,aare,True,0
anarchy-beach,Anarchy Beach,46.447215999999997,6.859612000000000,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,6
arabie,Arabie,46.462099000000002,6.834972000000000,Vevey,1800,CH,l,Lac Léman,vevey,lac-leman,False,10
arve_carouge_battistellak,arve_carouge_battistellak,46.178491200000003,6.154318700000000,Veyrier,1234,CH,r,Arve,veyrier,arve,False,0
ascona-traghetto-spiaggia,Ascona traghetto spiaggia,46.153882000000003,8.768480000000000,Ascona,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,4
augustmutzenbergstrandweg,AugustMützenbergStrandweg,46.686639999999997,7.689760000000000,Spiez,3700,CH,l,Thunersee,spiez,thunersee,True,0
baby-plage-geneva,Baby Plage Geneva,46.208557999999996,6.162923000000000,Genève,1208,CH,l,Lac Léman,geneve,lac-leman,True,7
