UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,KUNSTBAUTE,WANDERWEGE,BEFAHRBARK,EROEFFNUNG,STUFE,RICHTUNGSG,STR_NAME_U,NAME,BELAGSART,KREISEL,VERKEHRSBE,EIGENTUEME,VERKEHRSBD,slug,water_name,city_slug,length
{7CC30ADF-504F-4DA6-9C5A-A510D3694525},2015/04/16,2009/04/27,2004,4,2016,6,verbessert,swisstopo,2010,4,Autobahn,2017_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,baye-de-montreux-d,Lac Léman,montreux,28733.272
{13B22A41-66B0-4BD6-81CF-07F8D0F94A8B},2018/02/09,2011/09/13,2011,4,2018,11,verbessert,swisstopo,2017,6,6m Strasse,2018_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Verbindungsstrasse,la-petite-plage,Neuenburgersee,yverdon-les-bains,31675.305
{14E5F0B5-6F81-41BF-BAC0-C352D2D28057},2016/02/04,2007/09/20,2002,,2014,6,verbessert,swisstopo,2014,6,Autobahn,2015_Aufbau,Bruecke,,k_W,,1,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,seez_spennwiesenbrucke,Seez,walenstadt,43182.731
{CDBCF7C9-6DB7-4238-9B7D-B13EAE8925A7},2016/02/04,2007/09/20,2002,,2014,6,verbessert,swisstopo,2014,6,Autobahn,2015_Aufbau,Tunnel,,k_W,,-3,Wahr,{93AB5FA2-93C1-4210-837D-C34F4B5B4506},Kerenzertunnel,Hart,Falsch,,Bund,Hochleistungsstrasse,gasi-strand,Walensee,weesen,22266.452
{4025BFAC-AC8F-4779-8D21-3DCDEE2EB395},2015/05/22,2009/04/27,2005,4,2018,6,verbessert,swisstopo,2009,5,Autobahn,2018_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,birskopfli-rusco,Birs,birsfelden,82066.299
{4896C68A-8036-48BC-B830-623825FDB968},2010/03/01,2009/03/04,2004,3,2016,6,verbessert,swisstopo,2009,6,1m Weg,2016_Aufbau,Keine,,k_W,,0,k_W,,,Natur,k_W,,k_W,k_W,lacleman_gland_kubela,Lac Léman,gland,21038.408
{9F3B632A-4A81-4052-8E08-4A4BEEBDBDF2},2016/02/04,2007/09/20,2002,,2014,6,verbessert,swisstopo,2014,6,Autobahn,2015_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,murg_waengi_strickerr,Murg,wangi,34764.121
{46C3BAB2-C4C2-486F-B810-A3ED6EFA0F13},2016/02/11,2007/09/20,2000,,2013,6,verbessert,swisstopo,2013,6,10m Strasse,1412_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,kusnachter-dorfbach-tobelweg-1-4,Dorfbach,kusnacht,52158.123
{A7D02D46-A248-4C06-9EE4-1132F867028D},2011/12/19,2007/09/20,2000,,2013,6,verbessert,swisstopo,2010,6,1m Weg,2015_Aufbau,Keine,,k_W,,0,k_W,,,Natur,k_W,,k_W,k_W,sihl_menzingen_kucharska_magdalena,Sihl,menzingen,18741.225
{4D814F29-5790-4E5B-BA5D-4A5EA21687D2},2015/04/16,2009/04/27,2004,4,2016,6,verbessert,swisstopo,2010,4,10m Strasse,2017_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,lac-leman-hammerdirt,Lac Léman,la-tour-de-peilz,30345.628
{1430BB37-34D5-44C6-89E7-85D01410244C},2015/04/13,2009/04/27,2004,4,2016,6,verbessert,swisstopo,2010,4,6m Strasse,2017_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,oyonne,Lac Léman,la-tour-de-peilz,49794.043
{05EE4173-21B3-4496-A990-0FE22FF884A5},2015/10/07,2007/09/20,2000,,2013,6,verbessert,swisstopo,2010,6,Autobahn,1412_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,limmat_dietikon_keiserp,Limmat,dietikon,55938.628
{70A2EFC6-0546-4BF3-899C-1635EDCD5071},2019/07/05,2011/08/23,2011,3,2019,7,verbessert,swisstopo,2019,7,10m Strasse,2018_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,spackmatt,Aare,luterbach,39805.234
{DAF4053A-D6E4-428C-B7B5-E4819FB63696},2016/06/08,2009/04/27,2006,4,2018,6,verbessert,swisstopo,2015,6,6m Strasse,2018_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,ascona-traghetto-spiaggia,Lago Maggiore,ascona,38767.524
{14E5F0B5-6F81-41BF-BAC0-C352D2D28057},2016/02/04,2007/09/20,2002,,2014,6,verbessert,swisstopo,2014,6,Autobahn,2015_Aufbau,Bruecke,,k_W,,1,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,seez,Seez,walenstadt,31437.827
{B13A7F9A-94D0-43E9-AC64-0CF2B6425AE9},2019/02/01,2009/04/27,2005,4,2019,10,verbessert,swisstopo,2018,6,4m Strasse,2018_Aufbau,Keine,Wanderweg,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Verbindungsstrasse,luscherz-two,Bielersee,luscherz,19806.270
{AB233186-BFBB-40B8-84E1-3A7285D66D08},2017/11/28,2009/03/04,2004,3,2017,6,verbessert,swisstopo,2017,6,Autobahn,2016_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,rolle-plage,Lac Léman,rolle,34825.256
{097586F7-EDDB-4ABF-9E72-98CDC037B2FA},2019/12/02,2009/04/27,2004,4,2017,6,verbessert,swisstopo,2017,6,Autobahn,2017_Aufbau,Tunnel,,k_W,,-2,Wahr,{9F46FA3F-024B-4049-BEB9-DE08C155E6B0},Galerie de Champsec,Hart,Falsch,,Bund,Hochleistungsstrasse,les-vieux-ronquoz,Rhône,sion,56184.230
{1FB2A0CA-35F3-4665-82AC-52DB5E779104},2018/02/27,2011/10/13,2010,6,2016,6,verbessert,swisstopo,2016,6,Ausfahrt,1412_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,k_W,,Kanton,Hochleistungsstrasse,limmat_zuerich_suterdglauserp,Limmat,zurich,70507.804
{F021BEC3-B327-472F-8465-07ACA532E643},2019/11/26,2009/04/27,2005,4,2019,10,verbessert,swisstopo,2019,6,Autostrasse,2018_Aufbau,Bruecke,,k_W,,1,Falsch,,,Hart,Falsch,,Bund,Hochleistungsstrasse,aare_post,Aare|Nidau-Büren-Kanal,port,43932.675
{00019F21-190F-42B7-9E4E-456C02CDDF62},2019/11/25,2007/09/20,2002,,2019,6,verbessert,swisstopo,2019,6,6m Strasse,2015_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,mammern-swisslitterreport,Untersee,steckborn,18583.164
{B0999B16-7DE1-44B4-B4D7-2AC80A7B0E14},2019/02/14,2007/09/20,2002,,2019,2,verbessert,swisstopo,2019,2,10m Strasse,2015_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Verbindungsstrasse,sihlsee_einsiedeln_schilligerllacherl,Sihlsee,einsiedeln,21641.089
{1C208223-A2A8-4CBF-B870-EECE7ECF77EF},2015/03/20,2009/03/04,2004,3,2015,6,verbessert,swisstopo,2009,6,Autobahn,2016_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,vidy,Lac Léman,lausanne,45241.910
{EDC41A3C-6D96-4EAE-8DAA-45E470DB0677},2015/05/20,2009/04/27,2005,4,2019,10,verbessert,swisstopo,2011,3,4m Strasse,2018_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Verbindungsstrasse,gals-reserve,Bielersee,gals,24046.196
