slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_na_1,is_2020,city,bfsnum,population,UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,BAU_NAME_U,NAME,NUTZUNG,surface
gummligrabbe,Gummligrabbe,46.989289999999997,7.250730000000000,3283,CH,r,Aare,kallnach,aare,True,Kallnach,304,1920,{214CD043-46C9-4ECC-8270-48002A246E46},2016/11/11,2009/02/19,2004,6,2016,6,verbessert,swisstopo,2016,6,Treibhaus,2016_Aufbau,,,,85507.666
zulg_steffisburg_schmassmanne,zulg_steffisburg_schmassmanne,46.774243100000000,7.624537200000000,3612,CH,r,Zulg,steffisburg,zulg,False,Steffisburg,939,15709,{999DB363-E8FD-40C2-A4A3-9C29F653678E},2016/07/19,2009/02/19,2004,6,2016,6,verbessert,swisstopo,2015,6,Treibhaus,2017_Aufbau,,,,842756.579
camp-des-peches,Camp des pêches,47.052812000000003,7.074053000000000,2525,CH,l,Bielersee,le-landeron,bielersee,True,Le Landeron,6455,4645,{078EC95B-BA9A-432F-88BB-C73C4ED85233},2016/07/19,2009/02/19,2005,6,2018,6,verbessert,swisstopo,2015,6,Gebaeude,2018_Aufbau,,,,256006.539
vierwaldstattersee_weggis_schoberls_2,vierwaldstättersee_weggis_schöberls_2,47.043953000000002,8.417307599999999,6353,CH,l,Quatre Cantons,weggis,quatre-cantons,True,Weggis,1069,4369,{835D38BA-70B7-48FD-A4F1-4B2EA8E74FCD},2013/10/09,2013/10/09,2013,6,2013,6,verbessert,swisstopo,2013,6,Sakrales Gebaeude,2015_Aufbau,,,,152517.802
ascona-traghetto-spiaggia,Ascona traghetto spiaggia,46.153882000000003,8.768480000000000,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,Ascona,5091,5481,{D486FA1E-1F76-472D-90C3-563842FBC019},2019/02/12,2013/04/24,2012,3,2019,6,verbessert,swisstopo,2018,6,Gebaeude,2018_Aufbau,{B7AEDA0E-B34A-4B56-8BE1-59AF025C4838},Ascona Madonna della Fontana 300m,Schiessstand,552987.231
ruisseau-de-la-croix-plage,Ruisseau de la croix plage,46.813920000000003,6.774700000000000,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,Cheyres-Châbles,2055,2320,{07EA67E6-D445-4D78-AB4B-295A454935BC},2014/08/20,2010/12/16,2010,4,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2016_Aufbau,,,,90967.394
sentiero-giro-del-golf-spiaggia,Sentiero Giro del Golf spiaggia,46.145769999999999,8.790430000000001,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,Ascona,5091,5481,{3CF0D6E9-A001-44C6-A16C-0A9491BCB8F8},2019/02/13,2013/10/18,2012,3,2019,6,verbessert,swisstopo,2018,6,Gebaeude,2018_Aufbau,,,,172304.982
bodensee_horn_huberm,bodensee_horn_huberm,47.498275700000001,9.456978200000000,9326,CH,l,Bodensee,horn,bodensee,False,Horn,4421,2752,{847ADD29-57AF-46AB-A874-BE4006D098EB},2016/07/19,2009/02/19,2002,6,2015,6,verbessert,swisstopo,2015,6,Lagertank,2015_Aufbau,,,,365614.346
bern-tiergarten,Bern Tiergarten,46.933157399999999,7.452004100000000,3005,CH,r,Aare,bern,aare,True,Bern,351,133883,{7D1F40D3-8FC7-41B6-BF59-58490B212567},2016/07/19,2009/01/08,2004,6,2016,6,verbessert,swisstopo,2015,6,Hochkamin,2016_Aufbau,,,,874722.922
bain-des-dames,Bain des Dames,46.450506799999999,6.858091800000000,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,{9B83DC6B-D1A5-4017-8B5A-1606CB3B6509},2016/07/19,2009/02/19,2004,6,2016,6,verbessert,swisstopo,2015,6,Treibhaus,2017_Aufbau,,,,456410.365
sihl_adliswil_oggi_fort,Sihl_Adliswil_Oggi_Fort,47.312421700000002,8.526254900000000,8134,CH,r,Sihl,adliswil,sihl,False,Adliswil,131,18769,{BEAFDB01-C8EF-4B22-8DA4-F9BB91DDCDBE},2013/08/07,2013/08/07,2010,7,2013,6,verbessert,swisstopo,2010,7,Gebaeude,1412_Aufbau,,,,662621.515
glatt_oerlikon_covosn,glatt_oerlikon_covosN,47.416769100000003,8.566712000000001,8152,CH,r,Glatt,opfikon,glatt,False,Opfikon,66,20361,{015801E2-A4AE-4432-AD5F-B72B19CABF92},2013/07/18,2013/07/18,2010,6,2014,6,verbessert,swisstopo,2010,6,Sakrales Gebaeude,1412_Aufbau,,,,1175612.274
aare-port,Aare Port,47.116169999999997,7.269550000000000,2558,CH,r,Aare|Nidau-Büren-Kanal,port,aarenidau-buren-kanal,True,Port,745,3695,{8028A610-0E0C-4477-A0FD-685DABDF8BD5},2016/07/19,2009/02/19,2005,6,2018,6,verbessert,swisstopo,2015,6,Gebaeude,2018_Aufbau,,,,492941.089
reuss_stkarli_linigersimhofy,Reuss_St.Karli_LinigerS/ImhofY,47.057111800000001,8.287914499999999,6004,CH,r,Reuss,luzern,reuss,False,Luzern,1061,81691,{55600B91-D67F-431D-8DEA-0D2E566F863E},2019/04/24,2013/10/02,2013,6,2018,6,verbessert,swisstopo,2018,6,Sakrales Gebaeude,2015_Aufbau,,,,792450.603
thunersee_spiez_meierd_1,thunersee_spiez_meierd_1,46.704436800000003,7.657882400000000,3646,CH,l,Thunersee,spiez,thunersee,True,Spiez,768,12812,{38ED72A0-E8CF-4614-9857-F514A5EE4928},2017/08/24,2009/02/19,2004,6,2016,6,verbessert,swisstopo,2016,6,Gebaeude,2017_Aufbau,{B27BFA45-C2CB-4957-92A6-2E8FC12B16DA},Spiez Gesigen 300/50/30/25m,Schiessstand,93921.163
la-pecherie,La Pêcherie,46.463918700000001,6.385732100000000,1165,CH,l,Lac Léman,allaman,lac-leman,True,Allaman,5851,442,{9B8A60A1-933A-47C0-9AC6-F0A36F1367AF},2016/02/25,2010/05/04,2009,6,2015,6,verbessert,swisstopo,2015,6,Gebaeude,2016_Aufbau,,,,65114.974
aare_solothurn_nguyena,aare_solothurn_nguyena,47.197749500000000,7.524224700000000,4500,CH,r,Aare,solothurn,aare,False,Solothurn,2601,16777,{2990836F-3F22-4C58-ABB0-4935E9E2791F},2019/06/24,2009/01/08,2005,6,2018,6,verbessert,swisstopo,2018,6,Turm,2018_Aufbau,{64D3E683-F812-4D73-9EA9-A2383B7B6C51},Burristurm,,427068.279
