slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population
aabach,Aabach,47.22098900,8.94036500,8716,CH,l,Zurichsee,schmerikon,zurichsee,True,Schmerikon,3338,3710
aare-limmatspitz,Aare Limmatspitz,47.50106000,8.23737100,5300,CH,r,Aare,gebenstorf,aare,True,Gebenstorf,4029,5414
aare-solothurn-lido-strand,Aare Solothurn Lido Strand,47.19694900,7.52164300,4500,CH,r,Aare,solothurn,aare,True,Solothurn,2601,16777
aarezufluss_bern_scheurerk,aarezufluss_bern_scheurerk,46.97100970,7.45278970,3004,CH,r,Aare,bern,aare,False,Bern,351,133883
aare_bern_caveltin,Aare_Bern_CaveltiN,46.92357880,7.47331910,3074,CH,r,Aare,muri-bei-bern,aare,False,Muri bei Bern,356,13054
aare_bern_gerberm,Aare_bern_gerberm,46.98936310,7.45209770,3004,CH,r,Aare,bern,aare,False,Bern,351,133883
aare_bern_scheurerk,aare_bern_scheurerk,46.97096720,7.45258570,3004,CH,r,Aare,bern,aare,True,Bern,351,133883
aare_brugg_buchie,Aare_Brugg_BuchiE,47.49485530,8.23655810,5200,CH,r,Aare,brugg,aare,False,Brugg,4095,11179
aare_elfenau_cataldiv,Aare_Elfenau_cataldiv,46.93102010,7.46296050,3006,CH,r,Aare,bern,aare,False,Bern,351,133883
aare_kehrsatz_stolten,aare_kehrsatz_stolten,46.92357190,7.48830110,3123,CH,r,Aare,belp,aare,False,Belp,861,11510
aare_koniz_hoppej,aare_köniz_hoppej,46.93458850,7.45817030,3084,CH,r,Aare,koniz,aare,True,Köniz,355,41784
aare_post,Aare_post,47.11666500,7.27195300,2562,CH,r,Aare|Nidau-Büren-Kanal,port,aarenidau-buren-kanal,True,Port,745,3695
aare_rupperswil_badert,aare_rupperswil_badert,47.41030900,8.11255370,5102,CH,r,Aare,rupperswil,aare,False,Rupperswil,4206,5489
aare_solothurn_nguyena,aare_solothurn_nguyena,47.19774950,7.52422470,4500,CH,r,Aare,solothurn,aare,False,Solothurn,2601,16777
aare_suhrespitz_badert,aare_suhrespitz_badert,47.40566920,8.06601800,5032,CH,r,Aare,aarau,aare,True,Aarau,4001,21506
anarchy-beach,Anarchy Beach,46.44721600,6.85961200,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,La Tour-de-Peilz,5889,11828
arabie,Arabie,46.46209900,6.83497200,1800,CH,l,Lac Léman,vevey,lac-leman,False,Vevey,5890,19891
