slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,buildings,streets,intersects,pop_group_proj,pop_group_rip,streets_rank,buildings_rank
aabach,Aabach,47.220989,8.940365,8716,CH,l,Zurichsee,schmerikon,zurichsee,True,Schmerikon,3338,3710,4163.872,51512.887,12,1,4,0,0
aare-limmatspitz,Aare Limmatspitz,47.50106,8.237371,5300,CH,r,Aare,gebenstorf,aare,True,Gebenstorf,4029,5414,45453.102999999996,33002.378,0,2,5,0,0
aare-solothurn-lido-strand,Aare Solothurn Lido Strand,47.196949,7.521643,4500,CH,r,Aare,solothurn,aare,True,Solothurn,2601,16777,7833.625,63551.437999999995,0,3,6,0,1
aarezufluss_bern_scheurerk,aarezufluss_bern_scheurerk,46.9710097,7.4527897,3004,CH,r,Aare,bern,aare,False,Bern,351,133883,71500.244,23943.222999999998,0,3,6,3,3
aare_bern_caveltin,Aare_Bern_CaveltiN,46.9235788,7.4733191,3074,CH,r,Aare,muri-bei-bern,aare,False,Muri bei Bern,356,13054,15052.712,41280.748,0,3,6,0,1
aare_bern_gerberm,Aare_bern_gerberm,46.9893631,7.4520977,3004,CH,r,Aare,bern,aare,False,Bern,351,133883,63070.587,13885.698,0,3,6,3,3
aare_bern_scheurerk,aare_bern_scheurerk,46.9709672,7.4525857,3004,CH,r,Aare,bern,aare,True,Bern,351,133883,72315.525,25398.322,0,3,6,3,3
aare_brugg_buchie,Aare_Brugg_BuchiE,47.4948553,8.2365581,5200,CH,r,Aare,brugg,aare,False,Brugg,4095,11179,36478.667,27499.404,0,2,6,0,1
aare_elfenau_cataldiv,Aare_Elfenau_cataldiv,46.9310201,7.4629605,3006,CH,r,Aare,bern,aare,False,Bern,351,133883,48703.03,45257.318,0,3,6,3,3
aare_kehrsatz_stolten,aare_kehrsatz_stolten,46.9235719,7.4883011,3123,CH,r,Aare,belp,aare,False,Belp,861,11510,23801.519,61428.46599999999,0,2,6,0,1
aare_koniz_hoppej,aare_köniz_hoppej,46.9345885,7.4581703,3084,CH,r,Aare,koniz,aare,True,Köniz,355,41784,36869.221,30573.602000000003,0,3,6,3,3
aare_post,Aare_post,47.116665,7.271953,2562,CH,r,Aare|Nidau-Büren-Kanal,port,aarenidau-buren-kanal,True,Port,745,3695,33241.352,66934.621,0,1,4,0,0
aare_rupperswil_badert,aare_rupperswil_badert,47.410309,8.1125537,5102,CH,r,Aare,rupperswil,aare,False,Rupperswil,4206,5489,5280.138000000001,19790.462,0,2,5,0,0
aare_solothurn_nguyena,aare_solothurn_nguyena,47.1977495,7.5242247,4500,CH,r,Aare,solothurn,aare,False,Solothurn,2601,16777,25773.767000000003,66763.704,0,3,6,0,1
aare_suhrespitz_badert,aare_suhrespitz_badert,47.4056692,8.066018,5032,CH,r,Aare,aarau,aare,True,Aarau,4001,21506,24578.172000000002,47582.592000000004,0,3,6,0,1
anarchy-beach,Anarchy Beach,46.447216,6.859612,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,La Tour-de-Peilz,5889,11828,25381.441000000003,17394.106,3,2,6,0,1
arabie,Arabie,46.462099,6.834972,1800,CH,l,Lac Léman,vevey,lac-leman,False,Vevey,5890,19891,101110.04800000001,33332.574,5,3,6,0,1
arve_carouge_battistellak,arve_carouge_battistellak,46.1784912,6.1543187,1234,CH,r,Arve,veyrier,arve,False,Veyrier,6645,11612,36546.87,23672.449,0,2,6,0,1
ascona-traghetto-spiaggia,Ascona traghetto spiaggia,46.153882,8.76848,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,Ascona,5091,5481,127181.76199999999,41200.269,2,2,5,0,0
augustmutzenbergstrandweg,AugustMützenbergStrandweg,46.68664,7.68976,3700,CH,l,Thunersee,spiez,thunersee,True,Spiez,768,12812,67619.079,55315.164000000004,0,3,6,0,1
baby-plage-geneva,Baby Plage Geneva,46.208558,6.162923,1208,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,61378.835999999996,52171.426,4,3,6,3,3
baby-plage-ii-geneve,Baby-Plage II Genève,46.20894,6.16433,1208,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,43344.426,77162.777,4,3,6,3,3
bagno-pubblico-ascona,Bagno Pubblico Ascona,46.147565,8.779144,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,Ascona,5091,5481,36508.339,16839.043,1,2,5,0,0
bain-des-dames,Bain des Dames,46.4505068,6.8580918,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,78545.762,26338.873,2,2,6,0,1
baye-de-clarens,Baye de Clarens,46.439787,6.888903,1815,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,81628.80099999999,45050.108,4,3,6,1,2
baye-de-montreux-d,Baye de Montreux D,46.430962,6.908673,1820,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,100626.459,25546.342,3,3,6,1,2
baye-de-montreux-g,Baye de Montreux G,46.430834,6.908778,1820,CH,l,Lac Léman,montreux,lac-leman,True,Montreux,5886,25984,100060.326,20877.418999999998,3,3,6,1,2
beich,Beich,47.048495,7.200528,3272,CH,r,Aare,walperswil,aare,True,Walperswil,754,1043,0.0,57033.587999999996,0,0,1,0,0
berlingen-swisslitterreport,Berlingen swisslitterreport,47.6724312,9.0110553,8267,CH,l,Untersee,berlingen,untersee,False,Berlingen,4801,890,11779.333999999999,29727.228,0,0,1,0,0
bern-fahrstrasse,Bern Fahrstrasse,46.975866,7.44421,3004,CH,r,Aare,bern,aare,True,Bern,351,133883,59905.024000000005,29910.688,0,3,6,3,3
bern-tiergarten,Bern Tiergarten,46.9331574,7.4520041,3005,CH,r,Aare,bern,aare,True,Bern,351,133883,70579.587,30481.131,0,3,6,3,3
bielersee_vinelz_fankhausers,Bielersee_Vinelz_FankhauserS,47.0383984,7.1083114,3234,CH,l,Bielersee,vinelz,bielersee,True,Vinelz,502,867,25628.504,21873.95,6,0,1,0,0
birskopfli-rusco,Birsköpfli Rusco,47.5577429,7.6172916,4127,CH,r,Birs,birsfelden,birs,False,Birsfelden,2766,10303,93081.38900000001,21133.167999999998,0,2,6,0,1
birs_basel_grunern,Birs_Basel_GrunerN,47.5511276,7.6221988,4052,CH,r,Birs,basel,birs,False,Basel,2701,172258,156202.448,17813.883,0,3,6,3,3
birs_basel_laderachs,Birs_basel_lÃ¤derachs,47.5460497,7.6225981,4052,CH,r,Birs,basel,birs,False,Basel,2701,172258,132077.47699999998,39824.888999999996,0,3,6,3,3
bodensee_altenrhein_caluoria,bodensee_altenrhein_caluoria,47.4865069,9.5439664,9422,CH,l,Bodensee,thal,bodensee,False,Thal,3237,6571,87293.23599999999,18563.599,0,2,6,0,0
bodensee_arbon_moslis,Bodensee_Arbon_MosliS,47.5208887,9.431144,9320,CH,l,Bodensee,arbon,bodensee,False,Arbon,4401,14633,62149.437999999995,12833.336000000001,0,3,6,0,1
bodensee_horn_huberm,bodensee_horn_huberm,47.4982757,9.4569782,9326,CH,l,Bodensee,horn,bodensee,False,Horn,4421,2752,58022.10400000001,22274.959,0,0,3,0,0
bodensee_steinach_dolder_a,Bodensee_Steinach_Dolder_A,47.5062992,9.4361714,9323,CH,l,Bodensee,steinach,bodensee,False,Steinach,3217,3606,94315.62400000001,22966.502999999997,0,1,4,0,0
bodensee_thal_schlachterj_1,bodensee_thal_schlachterj_1,47.4862163,9.5439099,9422,CH,l,Bodensee,thal,bodensee,False,Thal,3237,6571,86472.901,18187.01,0,2,6,0,0
boiron,Boiron,46.4910297,6.4801618,1131,CH,l,Lac Léman,tolochenaz,lac-leman,False,Tolochenaz,5649,1933,1955.158,24216.877999999997,1,0,3,0,0
brugg-be-buren-bsg-standort,Brügg BE Büren BSG Standort,47.12222,7.28141,2555,CH,r,Aare|Nidau-Büren-Kanal,brugg,aarenidau-buren-kanal,True,Brügg,733,4390,89901.337,88079.037,0,1,5,0,0
camp-des-peches,Camp des pêches,47.052812,7.074053,2525,CH,l,Bielersee,le-landeron,bielersee,True,Le Landeron,6455,4645,28216.362999999998,23871.874,8,1,5,0,0
camping-gwatt-strand,Camping Gwatt Strand,46.72714,7.62962,3645,CH,l,Thunersee,thun,thunersee,True,Thun,942,43734,30961.619,33438.714,6,3,6,3,3
chriesbach_duebendorf_schneidera,chriesbach_duebendorf_schneidera,47.4029195,8.6051458,8600,CH,r,Chriesbach,dubendorf,chriesbach,False,Dübendorf,191,28678,154259.642,21042.359,0,3,6,1,2
cudrefin-alternate,Cudrefin alternate,46.96397,7.027448,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,True,Cudrefin,5456,1633,15196.845,23655.162,6,0,2,0,0
cully-plage,Cully plage,46.4888866,6.7413961,1096,CH,l,Lac Léman,bourg-en-lavaux,lac-leman,True,Bourg-en-Lavaux,5613,5369,11338.686000000002,49324.754,8,2,5,0,0
delta-park,Delta park,46.720078,7.635304,3645,CH,l,Thunersee,spiez,thunersee,True,Spiez,768,12812,11504.899,17983.822,6,3,6,0,1
emme_biberist_jennim,emme_biberist_jennim,47.1692208,7.5589948,4562,CH,r,Emme,biberist,emme,False,Biberist,2513,8568,78611.894,47583.372,0,2,6,0,0
emme_luterbach_huggenbergerk,emme_luterbach_huggenbergerk,47.2119442,7.5740144,4528,CH,r,Emme,zuchwil,emme,False,Zuchwil,2534,8962,38848.63,28009.55,0,2,6,0,0
emme_utzenstorf_gruttert,Emme_Utzenstorf_Grüttert,47.123696,7.539627,3427,CH,r,Emme,utzenstorf,emme,False,Utzenstorf,552,4333,17901.397,37005.994,0,1,5,0,0
evole-plage,Evole plage,46.989477,6.92392,2000,CH,l,Neuenburgersee,neuchatel,neuenburgersee,True,Neuchâtel,6458,33489,123228.601,45742.236,1,3,6,2,2
flibach-river-right-bank,Flibach River Right bank,47.133742,9.105461,8872,CH,l,Walensee,weesen,walensee,True,Weesen,3316,1724,29190.167999999998,30841.838,8,0,2,0,0
gals-reserve,Gals reserve,47.0462719,7.0850075,3238,CH,l,Bielersee,gals,bielersee,True,Gals,494,827,2476.09,58791.919,8,0,1,0,0
gerra-gambarogno,gerra-gambarogno,46.123366,8.785786,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,32537.818,18750.957,17,1,5,0,0
