,code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
0,G212,produits chimiques,Nodules de petrol,Undefined,Where does it come from,none,Parent code,False,False,False,none
1,G213,produits chimiques,Paraffine,Undefined,Where does it come from,none,Parent code,True,False,False,181
2,G214,produits chimiques,Goudron,Construction,Where does it come from,none,Parent code,False,False,False,111
3,G135,tissus,"Vêtements, chaussures, chapeaux et gants",Clothing,Where does it come from,none,Parent code,True,False,False,54
4,G136,tissus,Chaussures,Clothing,Where does it come from,none,Parent code,True,False,False,none
5,G137,tissus,Serviettes et chiffons,Clothing,Where does it come from,none,Parent code,True,False,False,54
6,G138,tissus,Chaussures et sandales,Clothing,Where does it come from,none,Parent code,True,False,False,57
7,G139,tissus,Sacs à dos,Utility items,Recreation,none,Parent code,True,False,False,none
8,G140,tissus,"Sacs, jute ou chanvre",Packaging,Agriculture,none,Parent code,False,False,False,56
9,G141,tissus,Tapis,Utility items,Where does it come from,none,Parent code,False,False,False,55
10,G142,tissus,"Corde, pas de plastique",Utility items,Recreation,none,Parent code,True,False,False,none
11,G143,tissus,Voiles et toiles,Utility items,Recreation,none,Parent code,True,False,False,none
12,G144,tissus,Tampons,Personal hygiene,Water Treatment,none,Parent code,False,False,False,100
13,G145,tissus,Autres textiles,Undefined,Personal hygiene,none,Parent code,True,False,False,59
14,G902,tissus,"Masque médical, tissu réutilisable",Personal hygiene,Where does it come from,none,G145,True,False,False,59
15,G200,Glass,verre brisé ,Packaging,Food and drink,none,Parent code,True,True,False,91
16,G201,Glass,"Pots, verre ou poterie et pièces",Packaging,Where does it come from,none,Parent code,True,False,False,93
17,G202,Glass,Ampoules électriques,Utility items,Where does it come from,,Parent code,True,False,False,
18,G203,Glass,Vaisselle en céramique ou verre,Food,Where does it come from,none,Parent code,False,False,False,none
19,G204,Glass,"Matériaux de construction ; briques, tuyaux, ciment",Construction,Where does it come from,none,Parent code,True,False,False,94
20,G205,Glass,Tubes fluorescents,Utility items,Where does it come from,,Parent code,True,False,False,
21,G206,Glass,Bouées en verre,Fishing,Where does it come from,,Parent code,True,False,False,
