survey_key,date,length,area,mac_plast_w,mic_plas_w,total_w,est_weight,num_parts_staff,num_parts_other,time_minutes,participants,project,is_2020,location,loc_date
aabach2020-10-2230,2020-10-22,30,75.00,75.000,0.145,0.080,0.0,1,0,90,"[""HD""]",2020,True,aabach,"('aabach', '2020-10-22')"
aare-limmatspitz2020-07-13120,2020-07-13,120,253.00,155.000,0.033,0.155,0.0,1,0,90,"[""HD""]",2020,True,aare-limmatspitz,"('aare-limmatspitz', '2020-07-13')"
aare-solothurn-lido-strand2020-09-0511,2020-09-05,11,38.00,1.000,0.000,0.001,0.0,1,0,80,"[""HD""]",2020,True,aare-solothurn-lido-strand,"('aare-solothurn-lido-strand', '2020-09-05')"
aare_bern_gerberm2020-09-2337,2020-09-23,37,148.00,3800.000,0.000,5.300,0.0,1,1,150,"[""HD""]",2020,True,aare_bern_gerberm,"('aare_bern_gerberm', '2020-09-23')"
aare_bern_scheurerk2020-05-1332,2020-05-13,32,96.00,100.000,0.000,0.140,0.0,1,0,120,"[""HD""]",2020,True,aare_bern_scheurerk,"('aare_bern_scheurerk', '2020-05-13')"
aare_brugg_buchie2020-07-1338,2020-07-13,38,113.00,199.500,0.000,0.200,0.0,1,0,70,"[""HD""]",2020,True,aare_brugg_buchie,"('aare_brugg_buchie', '2020-07-13')"
aare_koniz_hoppej2020-11-0670,2020-11-06,70,560.00,20.000,0.000,0.100,0.0,1,0,60,"[""HD""]",2020,True,aare_koniz_hoppej,"('aare_koniz_hoppej', '2020-11-06')"
aare_post2020-05-1770,2020-05-17,70,490.00,10.000,0.024,0.060,0.0,1,0,70,"[""HD""]",2020,True,aare_post,"('aare_post', '2020-05-17')"
aare_suhrespitz_badert2020-11-1221,2020-11-12,21,55.00,110.000,0.000,0.130,0.0,1,0,50,"[""HD""]",2020,True,aare_suhrespitz_badert,"('aare_suhrespitz_badert', '2020-11-12')"
ascona-traghetto-spiaggia2020-08-2627,2020-08-26,27,185.00,0.080,0.067,0.190,0.0,1,0,120,"[""HD""]",2020,True,ascona-traghetto-spiaggia,"('ascona-traghetto-spiaggia', '2020-08-26')"
augustmutzenbergstrandweg2020-10-099,2020-10-09,9,12.00,1.000,0.000,0.001,0.0,1,0,60,"[""HD""]",2020,True,augustmutzenbergstrandweg,"('augustmutzenbergstrandweg', '2020-10-09')"
baby-plage-geneva2020-05-05105,2020-05-05,105,630.00,250.000,0.000,0.450,0.0,1,3,150,"[""HD"",""ASL"",""EG""]",2020,True,baby-plage-geneva,"('baby-plage-geneva', '2020-05-05')"
baby-plage-geneva2020-06-09100,2020-06-09,100,550.00,690.000,1.265,0.691,0.0,1,3,35,"[""ASL"",""PRCS"",""HD""]",2020,True,baby-plage-geneva,"('baby-plage-geneva', '2020-06-09')"
